date,mean,sd,skewness,kurtosis,contrast,dissimilarity,homogeneity,ASM,entropy,energy,lag1_mean,lag2_mean,lag3_mean,lag4_mean
1995-09-01,-11.562389,0.43319634,-1.0519705054210784,0.5103331901314858,0.049450549450549455,0.049450549450549455,0.9752747252747251,0.6960361067503924,0.9088044587805828,0.8342877841311069,-9.888619,-11.491037,-10.300924,-11.0910225
1995-12-01,-10.076256,0.14417069,-0.3132761443856398,-0.5937722489934925,0.10989010989010989,0.10989010989010989,0.945054945054945,0.4430020528921628,1.432243466096904,0.6655839938671624,-11.562389,-9.888619,-11.491037,-10.300924
1996-01-01,-11.687779,0.34055388,-0.2403576521032786,-0.6966261234332021,0.07142857142857142,0.07142857142857142,0.9642857142857143,0.6403061224489796,1.0178015074140134,0.8001913036574314,-10.076256,-11.562389,-9.888619,-11.491037
1996-05-01,-10.164183,0.1531982,-0.37705226588799123,-0.6005008832324719,0.07142857142857142,0.07142857142857142,0.9642857142857144,0.6695296461779979,0.9607339443921012,0.8182479124189672,-11.687779,-10.076256,-11.562389,-9.888619
1996-09-01,-11.495744,0.2971017,-0.7088335890850589,-0.10889724972755355,0.02197802197802198,0.02197802197802198,0.9890109890109889,0.8364931771525177,0.5227611478237326,0.9146000093770597,-10.164183,-11.687779,-10.076256,-11.562389
1996-12-01,-10.613632,0.120561585,-0.6250980586167948,-0.35634616226465887,0.0,0.0,1.0,1.0,-0.0,1.0,-11.495744,-10.164183,-11.687779,-10.076256
1997-01-01,-11.7563505,0.35853058,-0.20894197459337135,-0.6140444592736451,0.11538461538461539,0.11538461538461539,0.9423076923076923,0.5643491124260355,1.2209970159260308,0.7512317301778696,-10.613632,-11.495744,-10.164183,-11.687779
1997-05-01,-10.176977,0.31208134,-0.21387782622148052,-1.1197160128176942,0.09340659340659342,0.09340659340659342,0.9532967032967035,0.46097995411182235,1.3736670521062535,0.6789550457223382,-11.7563505,-10.613632,-11.495744,-10.164183
1997-09-01,-11.532533,0.3205708,-0.3595007802962649,-0.5313007453000682,0.07142857142857142,0.07142857142857142,0.9642857142857142,0.7585889385339935,0.8362981265958243,0.8709701134562503,-10.176977,-11.7563505,-10.613632,-11.495744
1997-12-01,-10.405063,0.18668237,-0.19991162157829162,-0.8470601459524847,0.0,0.0,1.0,1.0,-0.0,1.0,-11.532533,-10.176977,-11.7563505,-10.613632
